year,month,day,airline,flight_number,origin_airport,destination_airport,departure_delay,arrival_delay,flight_duration
2022,7,14,AirlineA,9317,SLC,DEN,52,299,667
2021,2,5,AirlineC,4295,PHX,MSP,581,513,346
2022,9,20,AirlineD,7924,LAX,SEA,410,432,278
2022,6,27,AirlineD,3504,IAH,DEN,290,407,365
2023,5,12,AirlineB,2163,SLC,DEN,63,57,140
2022,2,24,AirlineC,7224,JFK,LAS,95,390,407
2023,7,28,AirlineA,1916,DFW,LAS,76,561,564
2021,3,22,AirlineD,6977,LAX,LAS,539,346,162
2022,10,8,AirlineD,1949,JFK,BOS,-1,154,324
2023,5,11,AirlineC,1409,ORD,SFO,549,380,116
2021,12,21,AirlineA,1106,ATL,MSP,399,434,394
2021,6,10,AirlineC,7939,LAX,MIA,129,131,677
2021,11,3,AirlineC,9797,IAH,CLT,591,422,469
2022,4,25,AirlineE,4527,PHX,MSP,83,260,652
2022,9,22,AirlineC,1488,ATL,MSP,583,26,52
2021,5,7,AirlineB,2588,DFW,BOS,305,92,52
2022,12,14,AirlineB,7224,IAH,SEA,482,542,407
2021,7,28,AirlineA,1188,JFK,CLT,49,290,634
2022,10,13,AirlineD,4752,LAX,MSP,-9,302,220
2023,8,27,AirlineC,5557,IAH,DEN,219,416,648
2022,9,3,AirlineD,2084,PHX,SEA,311,142,123
2023,11,4,AirlineE,3504,ATL,LAS,329,121,286
2021,3,9,AirlineB,5803,ORD,DEN,151,475,520
2023,10,15,AirlineE,9479,PHX,LAS,124,420,114
2022,8,21,AirlineC,5422,JFK,LAS,489,45,362
2022,8,2,AirlineA,6930,DFW,DEN,62,599,653
2023,7,15,AirlineE,6038,JFK,CLT,555,162,374
2023,8,17,AirlineB,9279,SLC,DEN,321,56,561
2023,3,2,AirlineB,2160,SLC,CLT,506,505,669
2021,6,12,AirlineC,2489,IAH,LAS,582,23,691
2023,6,3,AirlineC,3615,IAH,BOS,228,587,198
2022,2,19,AirlineB,5040,DFW,MSP,102,579,131
2022,9,13,AirlineC,2519,LAX,MSP,490,340,63
2022,5,6,AirlineB,5339,SLC,SEA,201,110,203
2021,5,28,AirlineA,4258,JFK,LAS,104,581,430
2021,3,6,AirlineE,7201,SLC,MIA,390,343,288
2022,10,10,AirlineD,7065,ATL,BOS,450,168,421
2023,10,15,AirlineD,8062,DFW,MSP,484,510,473
2021,4,26,AirlineE,6881,DFW,MIA,462,350,612
2021,12,28,AirlineE,2674,DFW,DEN,134,249,505
2023,3,27,AirlineD,1106,ATL,CLT,327,-3,469
2021,7,17,AirlineC,6820,IAH,DEN,353,199,73
2022,2,27,AirlineC,5333,ORD,MIA,263,453,187
2023,8,15,AirlineE,1409,LAX,MIA,232,190,198
2023,12,20,AirlineE,8668,LAX,BOS,213,278,169
2021,4,14,AirlineE,5808,LAX,DEN,481,581,593
2021,11,17,AirlineE,4432,ORD,BOS,409,-29,674
2022,4,19,AirlineD,2139,LAX,LAS,39,508,602
2023,9,18,AirlineA,2489,SLC,MIA,366,352,304
2023,1,12,AirlineA,3287,ATL,DEN,565,310,181
2021,6,18,AirlineC,9479,ORD,CLT,460,156,183
2021,12,25,AirlineD,7912,DFW,SEA,14,174,87
2022,5,17,AirlineD,2832,SLC,BOS,7,165,337
2022,1,28,AirlineC,7216,LAX,LAS,417,379,495
2022,6,6,AirlineD,4750,SLC,LAS,501,243,129
2023,7,3,AirlineD,5342,ORD,BOS,298,75,126
2022,11,10,AirlineC,5371,IAH,SFO,424,329,502
2021,12,28,AirlineC,4470,IAH,BOS,28,46,697
2022,6,17,AirlineB,9935,ORD,CLT,5,99,113
2021,11,12,AirlineC,9085,JFK,SFO,430,349,425
2022,2,19,AirlineB,1009,PHX,MSP,291,255,300
2021,1,24,AirlineB,5889,IAH,DEN,238,236,501
2021,10,10,AirlineD,2307,LAX,SFO,45,432,221
2023,8,3,AirlineC,6539,PHX,DEN,533,525,342
2022,3,23,AirlineB,8019,ATL,DEN,175,112,287
2022,1,12,AirlineE,2403,PHX,CLT,534,102,671
2021,2,10,AirlineD,4899,SLC,MSP,389,558,120
2021,6,21,AirlineA,6573,SLC,LAS,101,534,700
2023,3,25,AirlineB,5119,JFK,DEN,500,126,356
2021,3,11,AirlineB,3287,DFW,DEN,226,171,695
2023,5,5,AirlineC,4470,LAX,SFO,576,564,202
2021,11,20,AirlineE,3340,JFK,MIA,53,16,701
2023,5,21,AirlineB,8062,IAH,MIA,479,528,341
2023,5,16,AirlineB,2163,IAH,BOS,434,44,106
2021,8,14,AirlineD,8123,ATL,LAS,591,117,365
2023,6,24,AirlineC,3504,ORD,LAS,497,545,153
2022,4,15,AirlineA,8573,SLC,SEA,114,69,96
2022,7,28,AirlineE,7252,ATL,SFO,305,561,365
2021,3,16,AirlineE,3591,SLC,BOS,479,-7,137
2022,9,15,AirlineB,5554,PHX,MIA,21,258,551
2023,11,22,AirlineD,1916,JFK,DEN,411,107,315
2023,6,25,AirlineD,7543,JFK,MSP,22,553,620
2021,6,18,AirlineC,9928,IAH,CLT,533,256,683
2023,10,4,AirlineB,3615,IAH,LAS,317,541,419
2021,4,20,AirlineE,3504,JFK,MIA,9,110,386
2022,9,15,AirlineB,9645,ORD,LAS,597,296,211
2022,10,24,AirlineC,3103,PHX,CLT,546,276,531
2021,6,11,AirlineA,7304,DFW,MIA,581,455,316
2023,10,19,AirlineB,5562,JFK,CLT,144,506,689
2023,10,25,AirlineD,5333,ATL,MIA,556,82,240
2021,8,11,AirlineD,1711,IAH,SEA,390,483,671
2022,12,24,AirlineA,6413,ORD,SEA,544,302,534
2023,7,11,AirlineB,5808,PHX,LAS,240,594,540
2021,4,9,AirlineE,6168,ATL,BOS,265,182,545
2022,8,12,AirlineE,5562,DFW,BOS,94,557,601
2022,7,27,AirlineC,6804,ORD,BOS,13,264,125
2022,8,21,AirlineC,8749,SLC,SEA,176,521,322
2023,12,9,AirlineB,5552,ATL,SEA,21,513,276
2023,4,2,AirlineA,2040,PHX,CLT,72,110,50
2023,3,14,AirlineD,5315,ATL,BOS,298,262,706
2021,2,21,AirlineE,7065,JFK,SFO,397,150,82
2022,8,6,AirlineC,7912,JFK,BOS,551,587,154
2022,5,15,AirlineE,9689,SLC,SFO,486,449,324
2021,2,11,AirlineB,9834,SLC,BOS,160,-16,390
2022,10,22,AirlineB,5803,IAH,MSP,497,305,133
2022,11,4,AirlineB,6881,SLC,LAS,224,-24,312
2022,4,15,AirlineC,7482,DFW,MIA,237,338,286
2021,11,4,AirlineD,5386,ORD,MSP,484,288,165
2023,5,12,AirlineE,8428,ATL,SFO,459,126,510
2023,10,12,AirlineD,1514,SLC,SEA,223,580,128
2023,8,17,AirlineC,7873,LAX,MIA,530,487,252
2023,9,5,AirlineB,9179,SLC,DEN,180,567,545
2021,9,15,AirlineA,2827,ORD,MSP,437,547,104
2023,8,22,AirlineC,8953,JFK,MSP,230,-27,268
2023,2,2,AirlineD,3287,LAX,MIA,40,453,77
2022,7,6,AirlineB,8062,IAH,LAS,361,429,431
2022,2,22,AirlineE,2584,PHX,DEN,152,520,447
2023,3,24,AirlineB,2824,JFK,BOS,444,527,479
2023,7,27,AirlineB,2169,SLC,LAS,128,252,238
2023,2,2,AirlineD,4470,JFK,SEA,181,38,148
2023,1,15,AirlineE,4770,JFK,SEA,15,381,494
2021,9,7,AirlineA,6881,DFW,SEA,559,296,636
2023,11,27,AirlineC,6820,DFW,SFO,503,196,468
2022,5,2,AirlineE,3103,ORD,MSP,539,477,93
2022,11,22,AirlineD,9689,PHX,MSP,388,122,352
2022,3,25,AirlineE,1053,ATL,SEA,277,117,519
2021,9,14,AirlineD,4923,ORD,MSP,218,231,253
2022,11,3,AirlineD,6930,LAX,SEA,22,244,431
2023,10,20,AirlineA,9928,ATL,SEA,460,183,385
2022,1,7,AirlineB,8744,LAX,CLT,218,588,254
2022,4,18,AirlineC,7939,DFW,MSP,447,516,709
2022,5,9,AirlineC,7126,SLC,CLT,70,450,372
2021,6,11,AirlineD,1488,ATL,SFO,-14,237,611
2023,10,24,AirlineD,1525,ORD,SEA,307,205,433
2023,4,16,AirlineE,5061,PHX,BOS,470,472,516
2021,12,26,AirlineC,2291,ORD,CLT,158,525,702
2021,9,2,AirlineA,1344,JFK,MIA,392,110,690
2021,2,23,AirlineB,5506,ATL,CLT,352,31,677
2023,11,20,AirlineD,4681,SLC,MIA,-24,514,609
2022,1,1,AirlineE,5562,DFW,BOS,-13,484,485
2021,2,4,AirlineE,1711,ATL,SEA,509,228,407
2022,7,3,AirlineC,3621,SLC,SEA,201,277,127
2023,11,25,AirlineA,1106,IAH,MSP,356,535,532
2021,11,1,AirlineB,8359,SLC,MSP,309,549,142
2023,1,8,AirlineB,4750,SLC,BOS,17,46,332
2023,10,22,AirlineA,6925,PHX,MIA,182,571,192
2023,7,3,AirlineC,3045,ATL,MSP,523,309,438
2023,3,26,AirlineA,9317,PHX,MIA,70,417,282
2021,6,20,AirlineE,8787,IAH,LAS,0,249,506
2022,4,12,AirlineE,3266,IAH,SFO,569,359,132
2023,5,26,AirlineB,9423,LAX,DEN,244,127,434
2023,11,5,AirlineD,6155,PHX,DEN,63,-25,360
2022,6,25,AirlineC,6574,ORD,DEN,161,411,504
2023,9,17,AirlineD,6574,JFK,DEN,332,537,140
2023,10,26,AirlineC,9085,JFK,BOS,393,367,131
2023,9,8,AirlineE,9837,ORD,MSP,143,112,320
2022,5,16,AirlineB,1434,ORD,MSP,252,401,351
2022,2,12,AirlineC,2169,SLC,SEA,438,79,183
2022,1,13,AirlineC,9835,IAH,LAS,420,312,485
2023,10,5,AirlineC,4483,ATL,CLT,291,151,452
2022,5,24,AirlineD,8962,ATL,LAS,355,257,447
2022,2,19,AirlineB,3103,ORD,MIA,442,184,493
2022,12,3,AirlineD,4770,SLC,SFO,280,217,303
2023,3,23,AirlineD,3266,LAX,CLT,582,460,641
2022,9,17,AirlineD,2832,JFK,LAS,519,578,698
2021,2,25,AirlineB,4681,PHX,SFO,597,15,621
2023,11,21,AirlineD,7669,PHX,MSP,78,-20,145
2022,4,17,AirlineE,4923,ATL,CLT,353,370,519
2023,10,23,AirlineE,1711,PHX,MIA,464,77,347
2022,2,4,AirlineB,5040,DFW,LAS,436,181,578
2022,6,16,AirlineA,2876,SLC,LAS,38,277,90
2023,2,1,AirlineC,8397,LAX,SFO,219,498,223
2023,3,11,AirlineE,9669,SLC,SEA,384,158,235
2023,11,14,AirlineD,9935,ATL,CLT,576,409,443
2021,12,7,AirlineB,4598,LAX,DEN,519,161,419
2022,4,15,AirlineA,3677,SLC,LAS,581,367,670
2022,10,4,AirlineC,9830,SLC,SFO,274,599,649
2021,11,5,AirlineC,6514,ATL,BOS,89,157,427
2023,3,17,AirlineD,7252,ORD,MSP,403,160,543
2023,9,23,AirlineB,4923,ORD,CLT,265,113,236
2022,8,20,AirlineA,5304,JFK,CLT,109,169,438
2023,9,21,AirlineD,7916,SLC,MSP,424,470,216
2021,10,1,AirlineB,4752,JFK,BOS,200,520,340
2021,8,19,AirlineD,6947,LAX,DEN,244,526,420
2023,1,25,AirlineD,2832,ATL,MSP,74,223,349
2021,8,9,AirlineC,5557,SLC,DEN,212,184,647
2023,6,28,AirlineE,7537,IAH,SFO,600,112,256
2021,1,19,AirlineC,6310,DFW,SFO,301,269,341
2023,5,28,AirlineE,4608,LAX,SFO,391,30,328
2023,3,23,AirlineB,2169,ORD,LAS,223,372,546
2021,10,21,AirlineC,6107,IAH,MSP,432,47,693
2021,7,17,AirlineC,4750,PHX,CLT,469,305,640
2021,12,3,AirlineD,7118,PHX,DEN,517,377,268
2022,4,16,AirlineC,4483,DFW,LAS,530,561,178
2023,8,26,AirlineC,1117,JFK,MIA,71,440,61
2021,3,15,AirlineD,2824,IAH,SEA,105,279,207
2022,2,21,AirlineC,3803,LAX,LAS,139,23,450
2023,5,24,AirlineB,9669,LAX,DEN,-29,188,533
2021,3,19,AirlineB,3646,SLC,MIA,-22,321,168
2022,12,5,AirlineD,9928,ATL,MSP,61,74,150
2022,6,10,AirlineB,9348,ORD,SFO,40,513,621
2021,10,21,AirlineB,2876,PHX,SEA,125,391,675
2023,8,28,AirlineB,5557,LAX,SFO,96,573,438
2022,7,11,AirlineB,2169,DFW,DEN,224,536,660
2023,12,20,AirlineC,7735,JFK,BOS,180,500,666
2023,4,24,AirlineD,1525,JFK,SEA,476,365,160
2021,8,21,AirlineE,9928,JFK,LAS,294,105,441
2023,7,12,AirlineE,1117,ORD,CLT,44,-13,646
2021,1,9,AirlineB,1520,JFK,MSP,488,263,688
2023,9,25,AirlineD,8668,IAH,DEN,519,520,675
2021,5,3,AirlineC,4611,ATL,SFO,519,304,445
2023,11,25,AirlineA,2084,IAH,SEA,29,220,133
2022,2,15,AirlineE,9645,JFK,BOS,149,92,57
2023,3,23,AirlineA,3045,SLC,LAS,505,499,310
2021,6,5,AirlineC,9834,LAX,MIA,313,409,323
2023,2,9,AirlineE,6107,LAX,CLT,436,493,413
2021,8,28,AirlineE,7201,PHX,SFO,231,75,632
2023,12,4,AirlineB,8744,JFK,MIA,-18,220,92
2022,6,13,AirlineB,6925,JFK,MSP,199,299,299
2022,12,11,AirlineC,7873,PHX,DEN,484,23,228
2021,9,2,AirlineD,4257,SLC,BOS,288,305,133
2023,8,1,AirlineC,2307,DFW,BOS,218,445,422
2023,8,25,AirlineB,9834,ATL,SFO,-24,389,69
2021,9,12,AirlineA,8517,JFK,MSP,284,76,255
2023,4,14,AirlineD,9279,ORD,BOS,65,14,282
2023,7,23,AirlineC,5808,LAX,DEN,487,106,697
2022,2,19,AirlineE,9279,IAH,SFO,212,268,312
2022,7,23,AirlineC,6155,SLC,BOS,209,46,252
2021,10,4,AirlineB,5552,ORD,CLT,447,291,461
2021,9,12,AirlineB,6573,DFW,CLT,241,92,137
2021,11,10,AirlineE,1520,ATL,LAS,121,63,299
2022,7,17,AirlineA,4608,DFW,BOS,148,1,459
2022,9,24,AirlineE,2169,LAX,CLT,74,113,169
2021,1,27,AirlineB,7224,ATL,MSP,351,56,641
2023,5,27,AirlineA,3286,LAX,SEA,424,101,139
2022,2,2,AirlineD,2535,ORD,MSP,374,478,75
2022,11,14,AirlineB,9830,ATL,SFO,251,256,501
2021,1,20,AirlineE,4470,ATL,BOS,480,391,608
2022,1,3,AirlineC,9085,ORD,MSP,174,508,300
2023,9,26,AirlineA,9348,PHX,CLT,527,466,397
2023,9,11,AirlineD,7216,ORD,MIA,296,581,269
2021,5,2,AirlineD,1009,PHX,SEA,133,72,298
2023,4,9,AirlineE,3167,JFK,SEA,559,367,408
2021,3,8,AirlineE,6155,PHX,MIA,330,551,622
2021,10,7,AirlineD,1319,DFW,SFO,472,8,137
2021,4,20,AirlineB,3286,SLC,MIA,309,598,251
2021,6,23,AirlineB,4483,JFK,MIA,121,570,190
2021,9,28,AirlineC,9928,PHX,MSP,570,73,389
2022,6,5,AirlineB,9834,IAH,CLT,294,148,620
2023,10,26,AirlineC,6977,ORD,MSP,284,271,175
2021,12,1,AirlineE,1771,JFK,SFO,586,295,671
2021,11,19,AirlineA,5889,ORD,LAS,49,213,400
2022,3,21,AirlineA,2160,PHX,CLT,-19,241,259
2021,12,3,AirlineC,9751,LAX,MIA,19,365,493
2023,7,6,AirlineD,2743,IAH,LAS,529,354,148
2022,10,21,AirlineB,3045,SLC,DEN,4,271,65
2022,5,4,AirlineA,5339,ORD,MSP,134,46,605
2021,6,20,AirlineE,9201,JFK,MSP,138,591,489
2021,1,4,AirlineC,4814,ATL,MSP,537,523,316
2023,5,10,AirlineB,3615,JFK,MSP,555,532,547
2021,1,12,AirlineA,9669,LAX,BOS,584,461,249
2021,1,7,AirlineB,8177,DFW,DEN,454,88,360
2022,8,16,AirlineC,1106,IAH,SFO,349,360,423
2021,8,2,AirlineC,2876,SLC,BOS,201,245,622
2021,3,25,AirlineA,8359,PHX,MSP,573,202,611
2021,7,27,AirlineE,7252,SLC,SEA,457,276,125
2022,12,2,AirlineE,2403,ORD,DEN,429,147,216
2021,4,5,AirlineA,8668,LAX,MSP,176,121,654
2022,6,24,AirlineA,5557,IAH,MSP,535,303,327
2023,8,28,AirlineA,1514,IAH,DEN,394,123,196
2023,10,19,AirlineA,5552,LAX,BOS,518,322,465
2022,7,21,AirlineD,2403,SLC,MIA,146,252,457
2021,10,20,AirlineD,7912,IAH,LAS,213,20,531
2022,6,1,AirlineC,7572,DFW,BOS,473,70,278
2021,5,24,AirlineD,7939,PHX,BOS,396,589,706
2021,4,15,AirlineB,7916,SLC,LAS,27,497,207
2021,5,23,AirlineE,3621,ORD,MIA,147,167,250
2021,4,2,AirlineD,2535,PHX,SEA,250,347,520
2023,7,21,AirlineA,1117,JFK,SEA,351,470,653
2022,3,28,AirlineD,3060,PHX,LAS,137,234,137
2022,1,13,AirlineA,3045,ATL,SEA,200,181,320
2023,7,17,AirlineA,7735,JFK,CLT,105,147,660
2021,4,9,AirlineE,5386,DFW,MSP,355,327,515
2022,4,15,AirlineC,4608,IAH,DEN,-23,493,428
2023,11,20,AirlineE,6313,DFW,DEN,463,35,389
2022,11,11,AirlineC,5010,DFW,SEA,123,499,291
2021,10,13,AirlineC,1117,ORD,MIA,479,272,310
2022,7,13,AirlineA,9727,ATL,LAS,197,517,698
2022,11,12,AirlineE,6168,ORD,SFO,270,69,527
2021,12,9,AirlineE,2588,ORD,LAS,61,197,408
2021,12,28,AirlineC,7252,PHX,LAS,236,569,346
2022,2,16,AirlineA,7118,LAX,CLT,169,482,167
2023,7,17,AirlineC,2040,JFK,SFO,110,175,395
2022,10,15,AirlineB,4456,ORD,DEN,469,310,691
2021,6,21,AirlineA,1409,SLC,BOS,184,142,635
2021,8,26,AirlineA,7224,IAH,MSP,383,409,533
2022,1,2,AirlineE,2307,PHX,MIA,299,513,240
2021,11,1,AirlineB,6977,PHX,BOS,102,75,437
2023,10,10,AirlineB,1434,JFK,BOS,267,436,577
2023,9,11,AirlineD,2163,ORD,LAS,471,337,237
2021,7,1,AirlineB,6977,ORD,SEA,-8,573,561
2021,2,12,AirlineA,3266,DFW,MIA,578,19,155
2023,1,2,AirlineA,7304,SLC,MSP,96,530,303
2022,12,5,AirlineB,4750,JFK,BOS,400,73,577
2022,10,20,AirlineB,7252,LAX,DEN,259,86,153
2022,4,20,AirlineB,7735,DFW,SEA,336,389,347
2021,1,18,AirlineD,2654,SLC,LAS,210,-28,58
2023,2,4,AirlineE,1344,SLC,SFO,62,493,121
2023,12,4,AirlineC,9479,ATL,CLT,273,240,520
2021,2,27,AirlineB,1520,DFW,LAS,290,406,163
2021,1,1,AirlineB,2049,ORD,LAS,336,418,681
2022,12,3,AirlineC,5339,ORD,DEN,380,379,512
2022,7,23,AirlineD,7252,ORD,DEN,105,30,208
2021,7,19,AirlineD,2290,SLC,SFO,595,358,412
2023,1,28,AirlineB,9201,SLC,DEN,391,421,92
2021,5,21,AirlineC,5012,ATL,LAS,501,505,678
2021,7,22,AirlineB,9201,PHX,MSP,122,541,672
2021,1,21,AirlineB,4258,SLC,CLT,139,46,548
2022,4,11,AirlineC,2535,ATL,MSP,382,210,125
2022,8,26,AirlineE,5371,LAX,CLT,427,293,166
2022,12,21,AirlineA,6574,IAH,MSP,6,540,607
2021,2,26,AirlineE,9835,DFW,SEA,437,319,417
2021,4,28,AirlineD,7482,SLC,LAS,433,86,144
2023,4,1,AirlineC,9830,DFW,LAS,78,16,213
2022,3,27,AirlineD,5552,DFW,SEA,162,93,447
2021,8,27,AirlineB,4899,PHX,DEN,394,17,693
2023,10,4,AirlineD,5808,ORD,CLT,-26,513,94
2023,7,27,AirlineE,9201,ORD,SFO,101,76,441
2023,10,20,AirlineC,4258,IAH,MSP,593,224,325
2022,6,10,AirlineD,2584,ORD,MSP,586,494,351
2023,9,28,AirlineC,9423,ATL,SEA,184,267,398
2023,3,23,AirlineB,9317,PHX,DEN,330,545,536
2023,10,22,AirlineD,4770,DFW,MSP,-17,505,154
2021,7,5,AirlineA,1344,JFK,SEA,243,134,338
2023,5,5,AirlineA,1964,DFW,SEA,524,3,412
2022,2,20,AirlineE,6977,IAH,SEA,493,264,93
2022,7,14,AirlineC,6038,JFK,MIA,227,177,680
2022,4,21,AirlineC,4119,ATL,SEA,271,429,226
2023,2,6,AirlineB,3167,LAX,MSP,11,408,330
2023,5,5,AirlineB,9727,DFW,MIA,308,447,203
2021,3,11,AirlineE,4582,DFW,CLT,556,533,411
2021,12,11,AirlineE,8428,ORD,DEN,487,133,470
2023,9,13,AirlineA,5040,ATL,SEA,309,309,414
2022,4,25,AirlineE,1009,SLC,MIA,87,324,501
2021,11,20,AirlineE,5374,JFK,LAS,360,86,440
2022,9,24,AirlineC,2679,PHX,CLT,468,14,348
2023,4,11,AirlineE,8359,LAX,SFO,520,516,52
2023,2,7,AirlineB,2163,IAH,DEN,180,520,490
2023,2,24,AirlineB,2679,SLC,LAS,8,59,120
2021,3,26,AirlineC,4923,LAX,SEA,234,387,442
